,Cost
0,448.81
1,403.32
2,494.2
3,495.31
4,593.63
5,591.79
6,626.84
7,600.5
8,592.71
9,735.61
10,669.96
11,699.69
12,656.88
13,637.36
14,735.49
15,646.24
16,723.88
17,724.49
18,845.82
19,856.74
20,845.24
21,882.48
22,875.25
23,954.8
24,940.8
25,965.95
26,977.76
27,893.83
28,964.35
29,893.97
30,1004.69
31,998.85
32,893.6
33,970.82
34,984.88
35,1018.15
36,977.04
37,1018.1
38,1011.14
39,1109.76
40,1115.43
41,1256.14
42,1195.88
43,1049.69
44,1038.62
45,1220.62
46,1212.55
47,1107.47
48,1202.54
49,1161.05
50,1259.6
51,1294.66
52,1351.16
53,1309.12
54,1440.45
55,1326.31
56,1366.56
57,1400.6
58,1374.4
59,1278.27
60,1585.76
61,1534.36
62,1373.43
63,1439.49
64,1544.35
65,1400.32
66,1485.8
67,1487.79
68,1472.52
69,1395.27
70,1563.38
71,1437.37
72,1479.97
73,1629.27
74,1519.43
75,1615.57
76,1449.0
77,1556.46
78,1582.75
79,1540.03
80,1558.97
81,1560.14
82,1706.48
83,1668.75
84,1694.14
85,1763.63
86,1703.09
87,1651.77
88,1720.36
89,1722.86
90,1693.1
91,1719.14
92,1627.69
93,1795.3
94,1712.77
95,1773.34
96,1889.72
