,Cost
0,448.80830052193687
1,403.3237726549303
2,543.2379999422786
3,554.3192538719592
4,593.6299163960376
5,591.7911398223332
6,626.916172219221
7,600.5047785234228
8,592.7099175707194
9,859.3911247478695
10,765.5730744163487
11,794.3816715512796
12,658.4404358025486
13,818.5270747655031
14,858.6289097795741
15,734.5755358902171
16,952.5049749984812
17,978.5695262485535
18,1073.177063968077
19,1009.5898438827354
20,913.6052868809971
21,1176.5008841045867
22,1000.6127776277904
23,979.3274856137468
24,1057.4203694820176
25,1041.5004740643913
26,1269.9596445419465
27,1060.9171809149145
28,1076.2354058094784
29,986.715788653528
30,1248.5129486161895
31,1113.0095089448978
32,976.7376451302437
33,1173.520022204328
34,1108.430170712691
35,1154.581440970917
36,1195.0516601199026
37,1141.2580827252439
38,1103.8589452754582
39,1181.6425868505116
40,1199.6692483772947
41,1499.470974349243
42,1236.3550312259426
43,1408.6560050203796
44,1138.3775015428564
45,1538.6827597903914
46,1298.0019422556688
47,1301.71751955869
48,1385.6796804907583
49,1424.7557254520907
50,1484.1054738962198
51,1502.0001823865919
52,1451.4237967828308
53,1617.9305875578775
54,1408.2504697431095
55,1665.5001114260217
56,1487.4494043289349
57,1411.9960967426387
58,1400.1691167997333
59,1609.1153347440313
60,1594.0122034176693
61,1664.2216697527992
62,1695.9884174479819
63,1787.8823314145063
64,1836.494320644105
65,1562.074529560263
66,1799.3730333325234
67,1605.21539006242
68,1528.7225714530343
69,1782.6328936170755
70,1777.4050561534943
71,1650.8483879020293
72,1659.6470679025033
73,1893.1448771703142
74,1669.2598241611163
75,1692.4879663687307
76,1597.430631891073
77,1703.1408137468222
78,1672.0486953487741
79,1737.90085860861
80,1752.2959024389854
81,1660.914523361997
82,1893.2404957705148
83,1679.743054030194
84,1862.6107010721596
85,1788.7892687483643
86,1943.6053096580952
87,1855.628589539896
88,1843.8960888434729
89,2029.7829889257494
90,1977.6802394699607
91,1918.9185370930154
92,1852.9110269640353
93,1913.3754004016685
94,1854.0970304902917
95,1962.531504764443
96,1965.188957381674
