,population,execution_time
0,3,0
1,4,0
2,5,0
3,6,0
4,7,0
5,8,0
6,9,0
7,10,0
8,11,0
9,12,0
10,13,0
11,14,0
12,15,0
13,16,0
14,17,0
15,18,0
16,19,0
17,20,0
18,21,0
19,22,0
20,23,0
21,24,0
22,25,0
23,26,0
24,27,0
25,28,0
26,29,0
27,30,0
28,31,1
29,32,0
30,33,0
31,34,0
32,35,0
33,36,0
34,37,0
35,38,0
36,39,0
37,40,0
38,41,0
39,42,0
40,43,0
41,44,0
42,45,0
43,46,0
44,47,1
45,48,0
46,49,0
47,50,0
48,51,0
49,52,0
50,53,0
51,54,1
52,55,0
53,56,0
54,57,0
55,58,0
56,59,0
57,60,0
58,61,0
59,62,0
60,63,0
61,64,0
62,65,0
63,66,0
64,67,0
65,68,0
66,69,0
67,70,0
68,71,1
69,72,0
70,73,0
71,74,0
72,75,0
73,76,0
74,77,0
75,78,0
76,79,0
77,80,1
78,81,0
79,82,0
80,83,0
81,84,0
82,85,0
83,86,0
84,87,0
85,88,1
86,89,0
87,90,0
88,91,0
89,92,0
90,93,0
91,94,0
92,95,0
93,96,0
94,97,0
95,98,0
96,99,0
