,Times
0,0.013467335999962415
1,0.019774013999949602
2,0.027248522000036246
3,0.04088259900004232
4,0.05174210400002721
5,0.04744904099993619
6,0.05980634200000168
7,0.07279679800001304
8,0.08547965200000363
9,0.10157415000003311
10,0.12112381500003266
11,0.13542849199996
12,0.1548022869999386
13,0.1819599970000354
14,0.20029043800002455
15,0.23302499800001897
16,0.2841134450000027
17,0.3297895780000317
18,0.2934351350000952
19,0.35378938200005905
20,0.355588480999927
21,0.41570070900002065
22,0.4388373799999954
23,0.4430655180000258
24,0.5141903119999824
25,0.5299403459999894
26,0.5664799920000405
27,0.6156659910000144
28,0.6806659270000637
29,0.6920636140000624
30,0.7688766999999643
31,0.8140309780000052
32,0.9435668799999348
33,1.1674498730000096
34,1.3737350220000053
35,1.2431200770000714
36,1.2758923289999302
37,1.171430626000074
38,1.2034536219999836
39,1.244958085999997
40,1.331600633999983
41,1.5093401440000207
42,1.6937711300000728
43,1.699738428000046
44,1.613127732999942
45,1.667868492000025
46,1.7591196179999997
47,1.8919189609999876
48,2.170891676999986
49,2.184262446000048
50,2.071024168000008
51,2.1630039340000167
52,2.349937749999981
53,2.635842265000065
54,2.5589531450000322
55,2.5740273580000803
56,2.883152684000038
57,3.110542754999983
58,2.9054884050000283
59,3.0477897320000693
60,3.4542305969999916
61,5.005524873000013
62,3.868025369999941
63,4.632464213000048
64,3.694779115000074
65,4.000244183999939
66,4.085273844999961
67,4.470216024000024
68,4.570856649000007
69,4.3522048160000395
70,5.052681342000028
71,4.895832058999986
72,4.954408209999997
73,4.885163422000005
74,4.470256747999997
75,4.586165358000017
76,4.747167875999935
77,4.8228341150000915
78,5.004111967999961
79,5.102858706000006
80,5.217000186000064
81,5.369758714999989
82,5.600630049000074
83,5.709454581000045
84,5.891816273000018
85,6.011816504999956
86,7.428925302000039
87,6.502488728000003
88,6.50534501300001
89,6.8304192099999455
90,6.825113413999929
91,7.042429304000052
92,7.207834183000045
93,7.407467044999976
94,7.566056064999998
95,7.806044253999971
96,8.027798021999956
