,city_from,city_to
0,7,175
1,159,151
2,175,15
3,87,67
4,132,38
5,147,160
6,156,150
7,118,140
8,111,160
9,133,164
10,33,165
11,123,147
12,38,167
13,94,191
14,135,181
15,130,194
16,77,145
17,36,111
18,98,50
19,157,49
20,21,99
21,84,75
22,73,111
23,132,51
24,58,7
25,63,69
26,77,135
27,108,47
28,37,11
29,105,52
30,182,151
31,176,134
32,189,139
33,176,17
34,183,100
35,149,36
36,186,94
37,187,41
38,111,171
39,177,139
40,77,53
41,81,169
42,173,165
43,186,181
44,61,169
45,35,25
46,21,184
47,159,41
48,138,53
49,83,71
50,92,165
51,49,172
52,73,160
53,146,184
54,29,25
55,171,140
56,164,133
57,181,119
58,37,105
59,194,4
60,91,9
61,58,13
62,29,175
63,136,83
64,0,190
65,50,30
66,112,41
67,89,151
68,138,150
69,96,59
70,119,74
71,36,102
72,54,150
73,93,107
74,23,8
75,33,103
76,139,170
77,194,111
78,153,48
79,92,40
80,94,21
81,3,192
82,6,161
83,80,141
84,135,185
85,78,140
86,151,167
87,131,93
88,92,73
89,94,119
90,102,110
91,89,117
92,86,100
93,155,193
94,111,193
95,170,7
96,134,15
97,115,55
98,106,146
99,191,129
100,94,123
101,119,105
102,41,119
103,22,107
104,21,136
105,133,101
106,1,37
107,15,68
108,156,148
109,16,24
110,51,30
111,96,77
112,132,69
113,91,172
114,192,98
115,194,114
116,153,108
117,123,185
118,42,118
119,69,133
120,129,12
121,130,24
122,130,5
123,99,29
124,115,147
125,186,69
126,138,102
127,102,80
128,74,40
129,97,29
130,177,25
131,92,126
132,116,142
133,91,157
134,82,137
135,151,116
136,120,5
137,69,186
138,168,143
139,67,30
140,38,8
141,183,136
142,7,119
143,21,175
144,13,111
145,155,32
146,120,122
147,146,141
148,111,126
149,198,123
150,89,82
151,43,168
152,17,120
153,142,96
154,128,3
155,58,179
156,26,177
157,165,194
158,157,192
159,65,159
160,81,81
161,183,91
162,58,87
163,139,50
164,142,33
165,9,27
166,138,148
167,145,133
168,84,137
169,61,126
170,149,123
171,141,21
172,170,155
173,177,182
174,131,20
175,116,136
176,194,46
177,148,21
178,127,6
179,62,79
180,62,129
181,52,194
182,167,93
183,88,76
184,51,93
185,35,197
186,178,48
187,64,150
188,21,37
189,32,83
190,57,117
191,41,35
192,32,46
193,102,71
194,112,56
195,9,175
196,135,146
197,194,49
198,41,61
199,80,96
200,80,97
201,140,196
202,104,55
203,0,20
204,176,59
205,167,48
206,133,36
207,161,185
208,97,193
209,77,126
210,57,127
211,155,181
212,151,91
213,34,18
214,85,153
215,54,95
216,117,53
217,165,121
218,47,104
219,141,55
220,112,119
221,47,106
222,141,112
223,79,175
224,74,109
225,136,60
226,152,59
227,13,165
228,54,28
229,161,106
230,93,4
231,168,86
232,53,78
233,99,97
234,105,195
235,77,195
236,123,111
237,149,143
238,39,112
239,148,141
240,170,130
241,58,85
242,75,27
243,14,145
244,43,104
245,140,172
246,85,44
247,125,46
248,83,10
249,70,61
250,183,141
251,127,15
252,50,13
253,101,45
254,2,124
255,152,46
256,102,17
257,60,54
258,29,106
259,118,153
260,187,70
261,103,196
262,160,169
263,133,67
264,197,40
265,44,38
266,93,40
267,31,86
268,29,122
269,85,69
270,166,110
271,198,134
272,97,1
273,127,36
274,42,59
275,129,115
276,165,57
277,123,58
278,11,22
279,67,3
280,90,35
281,1,187
282,31,44
283,0,69
284,5,128
285,7,196
286,79,137
287,186,73
288,125,24
289,183,111
290,138,105
291,142,89
292,106,112
293,87,196
294,74,29
295,105,27
296,79,21
297,95,197
298,188,29
299,174,63
300,146,109
301,65,46
302,8,130
303,152,31
304,84,19
305,100,17
306,99,128
307,183,153
308,171,177
309,147,44
310,136,115
311,154,173
312,43,162
313,96,89
314,14,70
315,8,62
316,25,62
317,5,80
318,76,115
319,22,179
320,30,112
321,107,107
322,45,91
323,16,164
324,135,143
325,147,108
326,85,106
327,61,93
328,13,37
329,166,132
330,199,55
331,40,96
332,59,127
333,183,65
334,137,21
335,88,146
336,79,118
337,121,54
338,186,176
339,154,36
340,124,58
341,67,159
342,176,61
343,162,129
344,117,55
345,77,139
346,98,136
347,12,199
348,185,191
349,151,86
350,103,34
351,2,17
352,29,176
353,60,97
354,142,122
355,123,11
356,27,4
357,26,131
358,72,141
359,79,84
360,178,85
361,171,129
362,36,97
363,99,53
364,160,31
365,197,189
366,60,77
367,39,85
368,152,197
369,19,103
370,52,111
371,41,143
372,143,39
373,159,49
374,147,112
375,113,111
376,34,71
377,185,25
378,176,195
379,149,134
380,5,189
381,51,197
382,55,31
383,26,17
384,30,8
385,136,104
386,67,17
387,146,72
388,143,75
389,122,186
390,184,148
391,194,10
392,47,184
393,84,117
394,70,163
395,19,27
396,1,167
397,136,125
398,32,138
399,23,193
