,city_from,city_to
0,90,89
1,199,82
2,136,77
3,147,88
4,119,81
5,6,120
6,28,103
7,118,65
8,118,5
9,73,105
10,33,107
11,44,110
12,60,170
13,108,164
14,92,177
15,15,104
16,87,66
17,133,23
18,62,19
19,161,159
20,165,156
21,77,199
22,132,187
23,150,170
24,7,153
25,26,123
26,112,51
27,3,165
28,58,197
29,6,139
30,123,46
31,49,71
32,157,168
33,191,40
34,93,148
35,121,85
36,131,70
37,51,3
38,13,134
39,192,169
40,83,53
41,36,198
42,27,153
43,196,100
44,134,60
45,94,56
46,185,92
47,60,168
48,195,178
49,106,48
50,187,99
51,157,32
52,30,97
53,111,0
54,185,85
55,151,109
56,177,175
57,131,106
58,48,19
59,61,59
60,27,83
61,142,70
62,160,137
63,148,61
64,127,14
65,54,76
66,126,126
67,138,34
68,136,28
69,185,91
70,90,126
71,191,54
72,75,9
73,5,165
74,70,22
75,105,191
76,11,75
77,168,104
78,188,7
79,72,139
80,26,117
81,164,83
82,199,54
83,103,177
84,121,172
85,88,157
86,138,197
87,182,122
88,198,144
89,193,37
90,85,139
91,107,143
92,140,132
93,179,120
94,188,185
95,172,118
96,91,67
97,165,122
98,80,71
99,193,172
100,189,197
101,107,23
102,39,35
103,21,9
104,91,144
105,74,18
106,85,67
107,120,0
108,92,55
109,197,153
110,35,127
111,153,192
112,152,89
113,173,11
114,170,149
115,190,28
116,95,13
117,155,148
118,153,183
119,67,183
120,183,14
121,144,10
122,135,25
123,188,33
124,163,11
125,63,198
126,53,134
127,68,184
128,137,143
129,14,123
130,46,178
131,13,80
132,185,59
133,97,122
134,58,191
135,1,166
136,152,33
137,92,145
138,159,126
139,190,146
140,125,65
141,198,70
142,54,148
143,86,50
144,180,70
145,37,66
146,8,49
147,122,53
148,127,94
149,109,45
150,198,73
151,34,48
152,61,41
153,111,108
154,189,194
155,197,179
156,110,137
157,70,69
158,18,0
159,123,12
160,100,131
161,31,114
162,10,75
163,27,139
164,160,131
165,101,50
166,139,59
167,53,35
168,93,28
169,19,195
170,177,131
171,99,163
172,97,112
173,88,16
174,14,162
175,198,20
176,145,71
177,165,31
178,186,101
179,114,87
180,34,9
181,65,26
182,171,78
183,148,158
184,31,135
185,109,64
186,63,73
187,75,47
188,50,140
189,61,20
190,199,2
191,33,21
192,107,62
193,136,35
194,88,81
195,131,140
196,18,147
197,172,106
198,168,191
199,111,117
200,127,91
201,65,90
202,188,60
203,88,193
204,162,97
205,169,111
206,173,195
207,120,12
208,99,39
209,144,65
210,156,2
211,193,62
212,42,132
213,72,116
214,10,62
215,151,182
216,77,189
217,130,32
218,198,107
219,72,114
220,155,107
221,72,14
222,50,84
223,92,65
224,30,186
225,69,60
226,130,170
227,96,52
228,90,162
229,69,173
230,100,101
231,100,101
232,97,2
233,72,63
234,79,72
235,79,10
236,37,184
237,178,7
238,183,109
239,116,168
240,190,77
241,140,22
242,25,84
243,10,87
244,55,62
245,31,9
246,193,164
247,180,162
248,84,112
249,185,121
250,68,91
251,113,144
252,50,77
253,194,142
254,109,117
255,152,109
256,41,19
257,185,35
258,10,100
259,61,115
260,152,190
261,198,115
262,12,184
263,29,26
264,198,130
265,3,199
266,18,3
267,4,46
268,123,23
269,64,125
270,8,17
271,84,194
272,196,40
273,0,135
274,107,121
275,76,159
276,132,16
277,179,184
278,187,142
279,49,136
280,166,133
281,162,94
282,115,146
283,165,85
284,102,155
285,47,142
286,41,69
287,158,199
288,165,13
289,154,107
290,148,122
291,98,9
292,45,116
293,17,171
294,37,195
295,195,172
296,171,74
297,175,68
298,51,48
299,120,7
300,98,5
