,city_from,city_to
0,44,68
1,12,118
2,83,134
3,141,193
4,181,107
5,195,78
6,110,121
7,118,98
8,134,46
9,192,97
10,19,190
11,57,120
12,67,82
13,109,35
14,150,32
15,164,90
16,174,152
17,71,108
18,134,85
19,107,2
20,162,68
21,133,34
22,126,2
23,20,59
24,139,158
25,141,155
26,177,157
27,180,158
28,131,78
29,119,67
30,166,155
31,101,134
32,119,97
33,101,117
34,151,103
35,4,6
36,105,21
37,129,92
38,111,1
39,121,36
40,22,68
41,16,95
42,50,130
43,5,16
44,2,56
45,32,67
46,116,70
47,100,140
48,133,148
49,60,42
50,2,133
51,62,85
52,37,43
53,54,70
54,197,31
55,89,61
56,83,115
57,62,101
58,34,38
59,44,145
60,190,112
61,111,12
62,146,31
63,186,90
64,111,47
65,9,31
66,39,62
67,79,154
68,92,197
69,109,117
70,124,60
71,23,83
72,35,81
73,72,102
74,150,136
75,98,22
76,66,12
77,148,86
78,138,180
79,77,154
80,53,154
81,65,156
82,0,170
83,35,180
84,19,143
85,45,161
86,9,30
87,71,34
88,163,45
89,174,21
90,151,52
91,138,55
92,157,46
93,199,112
94,155,97
95,91,143
