,city_from,city_to
0,173,194
1,4,148
2,109,68
3,182,41
4,154,27
5,183,39
6,110,166
7,175,96
8,58,93
9,3,26
10,91,85
11,7,137
12,31,179
13,91,145
14,153,119
15,44,106
16,122,133
17,15,85
18,60,53
19,14,90
20,195,91
21,180,100
22,168,192
23,199,26
24,187,177
25,129,173
26,155,145
27,186,168
28,180,7
29,46,127
30,9,117
31,173,69
32,197,114
33,198,137
34,109,55
35,79,36
36,174,188
37,180,91
38,16,32
39,21,41
40,20,64
41,20,6
42,38,192
43,142,151
44,125,179
45,47,192
46,181,153
47,31,185
48,28,170
49,124,172
50,195,195
51,125,38
52,27,33
53,83,50
54,124,9
55,179,154
56,165,81
57,108,33
58,81,44
59,168,50
60,176,6
61,166,68
62,124,65
63,110,73
64,195,16
65,153,158
66,70,186
67,105,198
68,129,75
69,127,101
70,137,40
71,179,59
72,106,17
73,23,86
74,54,21
75,156,27
76,67,199
77,116,181
78,144,84
79,34,110
80,117,29
81,136,129
82,10,36
83,35,6
84,138,76
85,128,86
86,82,91
87,78,198
88,12,89
89,85,178
90,101,145
91,175,192
92,195,181
93,81,173
94,142,176
95,16,131
96,156,118
97,122,68
98,103,194
99,65,59
100,21,168
101,185,51
102,98,56
103,113,33
104,1,78
105,58,187
106,71,1
107,51,112
108,80,42
109,55,110
110,57,166
111,197,187
112,34,54
113,64,187
114,168,121
115,5,124
116,98,185
117,49,159
118,5,99
119,111,60
120,49,195
121,121,137
122,72,74
123,32,45
124,1,11
125,128,81
126,109,40
127,62,17
128,78,24
129,159,96
130,133,1
131,36,189
132,118,130
133,88,110
134,84,30
135,24,43
136,89,52
137,44,71
138,23,62
139,91,131
140,29,26
141,66,9
142,99,60
143,64,88
144,69,61
145,28,146
146,41,86
147,85,1
148,48,25
149,41,177
150,135,105
151,121,190
152,176,199
153,110,97
154,75,155
155,93,181
156,138,113
157,59,152
158,160,133
159,17,12
160,173,123
161,170,127
162,164,92
163,65,172
164,14,2
165,46,12
166,130,95
167,107,128
168,85,127
169,15,162
170,193,113
171,119,156
172,175,150
173,142,142
174,106,106
175,130,114
176,170,183
177,175,162
178,24,159
179,107,123
180,193,93
181,187,106
182,102,72
183,94,187
184,112,187
185,44,160
186,149,180
187,7,135
188,10,152
189,173,147
190,51,111
191,173,101
192,34,40
193,178,134
194,177,185
195,48,157
196,179,130
197,111,51
198,53,65
199,119,56
200,130,62
201,83,5
202,69,1
203,38,110
204,153,157
205,187,163
206,14,192
207,23,176
208,3,157
209,135,51
210,181,84
211,91,88
212,99,6
213,164,87
214,162,57
215,192,72
216,107,190
217,105,71
218,43,9
219,170,30
220,190,43
221,1,115
222,127,166
223,2,165
224,44,174
225,74,137
226,184,109
227,135,27
228,161,109
229,156,162
230,173,49
231,1,11
232,199,62
233,151,61
234,149,190
235,161,191
236,11,15
237,77,30
238,149,27
239,36,88
240,57,198
241,64,84
242,52,112
243,107,26
244,148,71
245,71,78
246,20,97
247,22,135
248,77,144
249,18,68
250,113,114
251,189,133
252,171,69
253,84,164
254,10,35
255,103,186
256,98,147
257,116,51
258,189,142
259,2,134
260,62,60
261,167,101
262,72,118
263,81,122
264,26,105
265,15,128
266,120,51
267,151,132
268,160,178
269,186,169
270,126,174
271,197,198
272,137,85
273,36,165
274,123,60
275,127,41
