,city_from,city_to
0,165,197
1,163,47
2,105,161
3,63,28
4,18,49
5,6,143
6,171,184
7,49,135
8,70,158
9,24,114
10,79,196
11,97,166
12,102,182
13,32,189
14,21,181
15,4,101
16,153,83
17,140,35
18,193,97
19,133,82
20,109,122
21,170,92
22,182,42
23,166,20
24,11,27
25,1,37
26,113,116
27,115,176
28,198,22
29,116,52
30,157,126
31,198,89
32,185,67
33,75,137
34,114,69
35,52,132
36,97,35
37,194,89
38,51,99
39,84,151
40,60,186
41,10,194
42,39,95
43,137,111
44,157,82
45,62,107
46,158,48
47,100,113
48,0,73
49,167,148
50,130,16
51,91,108
52,155,8
53,105,144
54,126,98
55,108,108
56,148,129
57,194,60
58,32,192
59,19,137
60,189,31
61,168,96
62,133,11
63,16,114
64,35,195
65,157,196
66,141,199
67,199,6
68,122,5
69,91,189
70,156,91
71,133,123
72,25,80
73,9,82
74,50,15
75,155,150
76,191,54
77,156,68
78,192,97
79,90,139
80,27,50
81,84,41
82,63,130
83,35,98
84,3,130
85,82,62
86,89,23
87,75,24
88,13,147
89,65,146
90,164,195
91,134,53
92,123,74
93,83,49
94,119,51
95,176,25
96,169,164
97,165,168
98,189,135
99,159,9
